iteration: 27000, loss: 0.0021, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 27500, loss: 0.0020, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 28000, loss: 0.0021, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 28500, loss: 0.0022, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 29000, loss: 0.0020, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 29500, loss: 0.0021, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 30000, loss: 0.0019, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 30500, loss: 0.0019, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 31000, loss: 0.0019, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 31500, loss: 0.0020, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 32000, loss: 0.0020, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 32500, loss: 0.0019, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 33000, loss: 0.0019, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 33500, loss: 0.0019, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 34000, loss: 0.0019, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 34500, loss: 0.0019, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 35000, loss: 0.0019, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 35500, loss: 0.0020, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 36000, loss: 0.0019, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 36500, loss: 0.0020, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 37000, loss: 0.0019, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 37500, loss: 0.0020, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 38000, loss: 0.0017, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 38500, loss: 0.0019, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 39000, loss: 0.0019, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 39500, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 40000, loss: 0.0019, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 40500, loss: 0.0020, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 41000, loss: 0.0019, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 41500, loss: 0.0019, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 42000, loss: 0.0019, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 42500, loss: 0.0018, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 43000, loss: 0.0019, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 43500, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 44000, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 44500, loss: 0.0017, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 45000, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 45500, loss: 0.0018, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 46000, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 46500, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 47000, loss: 0.0017, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 47500, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 48000, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 48500, loss: 0.0018, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 49000, loss: 0.0017, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 49500, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 50000, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 50500, loss: 0.0017, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 51000, loss: 0.0017, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 51500, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 52000, loss: 0.0019, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 52500, loss: 0.0017, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 53000, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 53500, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 54000, loss: 0.0017, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 54500, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 55000, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 55500, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 56000, loss: 0.0018, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 56500, loss: 0.0016, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 57000, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 57500, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 58000, loss: 0.0017, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 58500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 59000, loss: 0.0016, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 59500, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 60000, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 60500, loss: 0.0017, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 61000, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 61500, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 62000, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 62500, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
iteration: 63000, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0000, lr: 1e-05
